yyyymm,web,video,director de arte,frontend,ux,mobile,grafico,flash,ios,maquetador,game,programador,wordpress,industrial,ui,android,total,data,ecommerce,motion graphics
201703,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201702,83,7,19,49,33,6,93,0,11,24,3,162,12,0,32,9,642,2,6,5
201701,54,4,8,31,19,1,55,0,6,9,0,118,7,2,17,8,355,1,0,4
201612,56,1,9,37,11,5,42,1,6,8,1,117,5,0,15,3,359,2,1,3
201611,32,2,9,24,11,1,39,0,4,4,0,60,4,2,6,5,222,0,0,2
201610,43,4,7,23,19,0,35,0,11,11,2,95,4,1,16,4,310,2,0,1
201609,55,3,6,22,6,1,28,0,6,8,1,98,4,2,4,4,284,0,0,1
201608,58,1,3,18,14,2,47,1,7,11,1,102,3,1,11,6,292,0,0,2
201607,38,3,10,18,7,2,25,0,6,10,0,64,3,0,7,3,199,1,1,2
201606,40,1,3,22,9,0,22,0,4,8,0,74,1,0,8,3,220,0,0,0
201605,37,5,4,22,14,2,29,0,4,8,0,82,3,2,9,4,264,1,3,2
201604,28,4,1,20,16,1,21,0,4,8,0,73,5,0,16,5,249,1,0,0
201603,44,2,5,18,12,2,20,0,4,9,0,86,8,2,11,6,244,2,1,3
201602,48,1,8,20,10,1,17,1,6,10,2,89,6,0,14,8,250,0,0,2
201601,58,1,6,19,9,4,30,2,9,7,1,115,10,1,15,5,279,1,0,2
201512,24,3,2,12,6,3,29,0,11,4,0,75,2,0,5,7,224,4,3,3
201511,28,1,5,8,9,2,17,1,5,6,1,51,4,0,10,3,155,0,0,0
201510,52,5,4,11,10,4,23,0,8,7,2,85,3,1,7,9,229,0,1,2
201509,31,5,4,19,13,4,24,0,4,5,0,67,3,0,8,4,221,1,0,3
201508,37,2,4,20,10,4,13,1,3,13,0,64,3,0,12,1,213,2,0,1
201507,13,2,1,13,4,2,9,0,5,3,0,40,1,0,4,3,124,0,1,0
201506,28,4,3,12,9,2,19,0,6,12,1,69,2,0,10,8,173,0,1,1
201505,31,0,2,13,5,1,20,1,6,4,1,51,1,0,6,2,153,1,0,1
201504,37,1,5,16,12,5,16,1,6,11,3,59,3,0,9,8,179,0,1,3
201503,33,1,9,11,9,0,12,0,6,15,0,69,5,1,5,3,201,0,1,2
201502,37,3,5,20,9,2,19,1,5,10,2,83,3,0,6,5,214,1,0,1
201501,34,1,2,20,9,3,18,0,8,4,2,81,5,0,8,6,184,0,0,0
201412,24,0,1,13,4,1,18,1,6,6,3,66,2,1,3,3,151,0,0,0
201411,19,1,2,8,0,1,16,1,0,6,0,39,2,0,0,3,104,0,0,0
201410,23,2,5,8,3,0,11,3,3,10,0,53,3,0,5,3,132,0,1,1
