yyyymm,design,program
200810,1,1
200811,47,69
200812,37,49
200901,24,39
200902,38,45
200903,31,42
200904,40,56
200905,30,44
200906,29,44
200907,45,56
200908,42,63
200909,16,30
200910,48,65
200911,63,70
200912,53,81
201001,48,68
201002,48,74
201003,75,94
201004,70,103
201005,58,101
201006,67,102
201007,67,105
201008,59,86
201009,47,66
201010,103,146
201011,89,133
201012,83,121
201101,72,115
201102,121,160
201103,111,156
201104,129,191
201105,135,191
201106,172,245
201107,109,194
201108,118,175
201109,73,118
201110,145,213
201111,134,202
201112,142,216
201201,102,142
201202,78,130
201203,118,191
201204,99,156
201205,90,126
201206,91,145
201207,75,105
201208,62,85
201209,36,65
201210,66,90
201211,42,83
201212,47,84
201301,26,54
201302,51,94
201303,59,97
201304,55,83
201305,72,88
201306,56,75
201307,88,118
201308,62,101
201309,36,58
201310,67,87
201311,57,80
201312,71,117
201401,76,115
201402,94,140
201403,109,133
201404,97,131
201405,88,121
201406,70,105
201407,95,109
201408,88,123
201409,50,76
201410,99,142
201411,93,141
201412,103,127
201501,73,103
201502,106,142
201503,129,181
201504,132,201
201505,134,194
201506,141,175
201507,118,150
201508,126,168
201509,99,118
201510,156,209
201511,166,218
201512,180,223
201601,116,153
201602,175,221
201603,215,275
201604,185,244
201605,178,241
201606,189,245
201607,195,256
201608,172,217
201609,153,197
201610,229,286
201611,228,282
201612,240,302
201701,173,219
201702,277,346
201703,257,339
201704,471,580
