yyyymm,diseño,programación
201703,115,248
201702,60,168
201701,68,167
201612,44,97
201611,47,154
201610,52,134
201609,43,151
201608,44,98
201607,36,110
201606,42,131
201605,33,118
201604,45,127
201603,39,129
201602,47,161
201601,40,102
201512,27,78
201511,33,131
201510,35,107
201509,35,123
201508,24,59
201507,40,100
201506,27,81
201505,37,104
201504,51,103
201503,32,125
201502,33,113
201501,26,95
201412,17,53
201411,27,79
201410,26,90
201409,28,91
201408,13,44
201407,27,70
201406,40,48
201405,18,64
201404,24,71
201403,25,84
201402,23,86
201401,24,89
201312,18,65
201311,26,73
201310,20,53
201309,17,53
201308,12,38
201307,24,61
201306,30,68
201305,21,43
201304,25,49
201303,12,57
201302,17,74
201301,16,68
201212,9,42
201211,18,57
201210,18,58
201209,21,51
201208,11,53
201207,15,54
201206,24,67
201205,31,100
201204,24,79
201203,34,96
201202,40,116
201201,21,96
201112,29,80
201111,41,135
201110,41,116
201109,47,125
201108,32,62
201107,38,102
201106,37,104
201105,64,123
201104,47,102
201103,57,106
201102,49,86
201101,59,80
201012,20,71
201011,35,76
201010,40,91
201009,47,93
201008,11,37
201007,25,51
201006,25,68
201005,29,63
201004,23,65
201003,31,56
201002,26,61
201001,22,58
200912,18,42
200911,22,43
200910,21,34
200909,12,40
200908,5,22
200907,11,38
200906,20,39
200905,11,30
200904,11,31
200903,20,29
200902,7,31
200901,25,24
200812,9,28
200811,23,30
