yyyymm,data,design,director,frameworks,lenguage,mobile,program,publi,software,web
201705,0,0,0,0,0,0,1,0,0,1
201704,0,20,22,1,16,5,54,10,0,91
201703,4,64,58,21,36,31,212,25,1,343
201702,0,39,21,13,55,17,151,16,2,236
201701,2,39,26,7,25,22,155,18,1,232
201612,1,29,19,5,20,12,87,10,1,134
201611,2,28,24,13,35,20,123,9,0,200
201610,0,22,28,8,19,13,128,12,0,188
201609,0,35,10,8,38,16,124,6,1,202
201608,2,23,29,3,22,12,83,8,0,135
201607,0,18,17,3,16,9,96,10,0,152
201606,2,30,15,7,31,12,109,6,1,166
201605,1,22,12,5,24,15,98,5,1,157
201604,2,29,19,13,21,18,110,9,0,174
201603,0,22,19,12,36,19,116,9,1,185
201602,1,27,21,16,37,20,138,9,0,217
201601,4,20,13,7,17,24,89,13,0,123
201512,1,12,15,8,18,12,61,6,0,108
201511,0,23,19,9,33,27,101,2,0,169
201510,1,26,19,11,20,17,88,3,0,139
201509,2,23,15,11,26,16,88,5,0,142
201508,0,18,6,2,12,14,55,4,0,75
201507,1,25,20,5,23,17,86,4,0,131
201506,2,15,11,4,22,12,65,6,0,107
201505,0,28,17,6,24,22,82,4,0,139
201504,0,33,30,10,31,14,86,8,0,130
201503,1,20,17,6,39,12,110,3,2,159
201502,0,15,16,14,35,21,111,6,0,152
201501,0,19,10,6,27,14,85,4,0,111
201412,0,14,6,2,14,4,49,2,0,67
201411,0,14,14,7,18,10,69,5,0,98
201410,0,15,14,12,19,15,77,4,0,114
201409,0,19,11,14,26,11,77,2,1,108
201408,0,8,11,1,12,5,39,0,0,56
201407,3,20,5,6,8,6,59,6,0,89
201406,0,30,25,3,3,4,46,4,0,72
201405,0,10,10,8,12,6,56,2,0,82
201404,0,18,11,9,18,15,52,2,0,85
201403,0,18,13,8,19,15,72,0,1,105
201402,0,15,9,10,32,7,76,6,2,112
201401,3,13,9,11,27,6,78,5,0,116
201312,0,10,7,8,21,6,62,4,1,85
201311,0,19,6,7,15,9,56,5,1,97
201310,0,17,1,5,6,13,43,4,1,66
201309,2,14,5,5,14,5,45,0,0,67
201308,0,7,6,6,1,7,28,1,0,49
201307,1,26,2,1,18,6,50,3,0,78
201306,0,18,14,5,18,14,58,6,1,89
201305,0,17,4,9,9,4,34,3,0,54
201304,0,18,6,3,6,12,42,2,0,66
201303,0,8,10,2,17,9,51,1,0,70
201302,0,15,4,9,22,3,66,0,0,100
201301,0,13,11,7,14,8,53,0,0,93
201212,0,6,5,4,9,8,32,1,0,48
201211,0,8,9,5,14,12,43,4,0,63
201210,1,12,11,3,16,13,54,1,0,75
201209,0,12,10,6,18,6,40,4,0,63
201208,0,10,0,3,10,9,41,1,0,67
201207,0,6,11,4,10,10,44,2,0,70
201206,0,11,16,10,24,4,46,5,0,78
201205,0,24,15,7,32,15,69,4,0,114
201204,0,16,11,5,24,11,69,2,0,102
201203,1,23,12,11,27,13,73,7,0,114
201202,2,27,22,7,32,19,93,3,0,145
201201,0,20,5,5,24,20,70,4,0,123
201112,0,17,22,3,12,10,63,3,0,105
201111,0,23,20,6,56,17,105,3,0,159
201110,0,23,19,8,44,6,74,8,1,129
201109,0,27,15,20,20,18,87,10,1,141
201108,0,19,13,3,28,7,44,6,0,70
201107,1,18,22,10,24,24,80,6,1,113
201106,0,24,13,7,28,11,73,3,1,131
201105,0,41,23,7,39,7,78,10,0,145
201104,1,26,26,8,29,4,68,7,0,111
201103,0,40,31,11,37,10,70,5,2,118
201102,1,25,29,9,32,3,72,5,1,107
201101,0,33,31,4,32,4,52,11,0,84
201012,0,14,6,3,37,2,50,3,0,77
201011,0,21,17,8,24,4,53,7,0,86
201010,0,25,17,4,31,4,67,8,1,106
201009,0,28,27,3,48,4,61,6,0,101
201008,0,8,3,0,16,2,32,1,0,47
201007,0,16,15,3,17,1,32,2,0,56
201006,0,15,10,4,23,0,53,4,1,84
201005,0,16,13,3,21,0,41,5,0,71
201004,0,12,11,5,20,3,47,5,1,74
201003,1,22,14,0,22,2,30,7,2,60
201002,0,10,21,3,28,0,46,3,0,75
201001,0,13,8,1,13,4,47,6,0,70
200912,0,6,14,0,17,1,28,4,0,50
200911,0,7,17,4,17,1,27,5,1,46
200910,0,12,8,2,14,3,19,6,0,33
200909,1,5,5,4,13,3,24,3,0,43
200908,0,3,4,5,12,0,12,0,0,19
200907,0,6,10,1,20,1,18,0,0,40
200906,0,10,17,0,19,0,30,3,1,49
200905,0,15,3,0,14,1,26,0,0,34
200904,0,4,9,1,16,0,18,2,0,31
200903,0,11,9,0,16,0,21,7,0,37
200902,0,7,4,1,14,1,22,0,0,31
200901,0,13,19,0,12,1,21,4,0,27
200812,0,4,7,0,11,0,21,1,0,32
200811,0,13,17,1,8,0,15,2,1,35
