yyyymm,lenguage,software,both
200810,1,1,1
200811,8,45,12
200812,10,28,15
200901,6,25,6
200902,12,29,14
200903,4,29,7
200904,8,35,13
200905,13,28,15
200906,5,29,7
200907,14,42,15
200908,8,37,14
200909,4,16,7
200910,11,44,12
200911,14,37,17
200912,15,45,24
201001,8,38,13
201002,12,43,15
201003,14,56,19
201004,19,52,24
201005,13,51,19
201006,17,55,25
201007,11,59,15
201008,9,40,14
201009,2,30,10
201010,26,89,29
201011,19,64,24
201012,11,59,17
201101,10,62,13
201102,27,70,40
201103,24,77,39
201104,32,86,48
201105,34,90,46
201106,29,113,54
201107,23,75,36
201108,18,69,24
201109,16,50,25
201110,27,82,43
201111,24,92,39
201112,19,103,33
201201,18,71,27
201202,18,74,26
201203,22,93,33
201204,25,78,37
201205,13,70,24
201206,28,82,35
201207,13,58,19
201208,15,47,21
201209,13,40,14
201210,13,48,22
201211,16,45,18
201212,11,49,17
201301,4,30,8
201302,8,53,11
201303,16,60,18
201304,14,52,17
201305,15,42,27
201306,11,36,21
201307,12,56,22
201308,10,47,19
201309,13,33,15
201310,14,52,23
201311,11,42,16
201312,12,51,29
201401,11,60,19
201402,15,77,24
201403,21,78,35
201404,23,68,39
201405,22,60,30
201406,10,56,18
201407,14,44,31
201408,11,54,28
201409,8,38,14
201410,14,71,26
201411,15,74,26
201412,24,76,39
201501,12,55,21
201502,19,84,31
201503,23,110,35
201504,30,110,49
201505,16,90,38
201506,31,102,47
201507,26,76,46
201508,21,93,33
201509,14,49,31
201510,34,107,55
201511,31,100,53
201512,31,121,64
201601,23,70,44
201602,29,95,59
201603,41,144,72
201604,32,122,57
201605,27,107,56
201606,29,118,60
201607,28,119,62
201608,38,102,60
201609,29,89,67
201610,37,153,81
201611,41,133,87
201612,43,142,93
201701,40,103,80
201702,46,158,109
201703,40,160,106
201704,82,225,184
